model,mean_predicted,fraction_pos
Model A — Calibrated,0.254,0.254
Model A — Calibrated,0.3422,0.3422
Model A — Calibrated,0.398,0.398
Model A — Calibrated,0.4844,0.4844
Model A — Calibrated,0.49,0.49
Model A — Calibrated,0.5467,0.5467
Model A — Calibrated,0.5597,0.5597
Model A — Calibrated,0.592,0.592
Model A — Calibrated,0.7028,0.7028
Model A — Calibrated,0.7833,0.7833
Model C — Calibrated,0.2106,0.2106
Model C — Calibrated,0.36,0.36
Model C — Calibrated,0.3657,0.3657
Model C — Calibrated,0.4265,0.4265
Model C — Calibrated,0.4934,0.4934
Model C — Calibrated,0.5637,0.5637
Model C — Calibrated,0.6334,0.6334
Model C — Calibrated,0.6962,0.6962
Model C — Calibrated,0.776,0.776
Model A — Raw,0.1578,0.226
Model A — Raw,0.2738,0.334
Model A — Raw,0.3494,0.352
Model A — Raw,0.4163,0.45
Model A — Raw,0.4768,0.484
Model A — Raw,0.532,0.548
Model A — Raw,0.5902,0.56
Model A — Raw,0.6517,0.572
Model A — Raw,0.7221,0.696
Model A — Raw,0.8257,0.778
Model C — Raw,0.1551,0.21
Model C — Raw,0.2758,0.354
Model C — Raw,0.3566,0.356
Model C — Raw,0.4209,0.42
Model C — Raw,0.4785,0.49
Model C — Raw,0.5329,0.548
Model C — Raw,0.5909,0.574
Model C — Raw,0.6516,0.61
Model C — Raw,0.7227,0.668
Model C — Raw,0.8217,0.77
